name,lon,lat
Point 92,39.1225529,22.3227252
Point 93,39.1223705,22.3227152
Point 94,39.1211528,22.3230031
Point 95,39.1211528,22.3224423
Point 96,39.117741,22.3259311
Point 97,39.1169524,22.3262189
Point 98,39.1159868,22.325678
Point 99,39.1169471,22.3243977
Point 100,39.1164804,22.3243828
Point 101,39.11677,22.3240801
Point 102,39.1148955,22.3060784
Point 103,39.1173095,22.3038004
Point 104,39.1182772,22.3052235
Point 105,39.1185401,22.3052831
Point 106,39.1185508,22.3062062
Point 107,39.1190014,22.3060623
Point 108,39.1191784,22.3068911
Point 109,39.1205785,22.3076206
Point 110,39.1207234,22.306906
Point 111,39.0909055,22.2924614
Point 112,39.0884969,22.2924216
Point 113,39.0932633,22.2897669
Point 114,39.0951109,22.305225
Point 115,39.0951109,22.3048974
Point 116,39.0955025,22.3046939
Point 117,39.0960228,22.3045351
Point 118,39.0965593,22.3045301
Point 119,39.0970206,22.3045996
Point 120,39.0975088,22.3047435
Point 121,39.097482,22.3050215
Point 122,39.0980184,22.3050711
Point 123,39.0968865,22.3059247
Point 124,39.0945101,22.3084727
Point 125,39.0923627,22.3164855
Point 126,39.0915874,22.3165842
Point 127,39.0920058,22.3172988
Point 128,39.1080274,22.3198049
Point 129,39.108312,22.3235611
Point 130,39.1088484,22.3236058
Point 131,39.1073029,22.324386
Point 132,39.1054307,22.3261129
Point 133,39.1050447,22.314903
Point 134,39.1042347,22.3154837
Point 135,39.1037572,22.3157516
Point 136,39.1062141,22.3153546
Point 137,39.10608,22.3141437
Point 138,39.1054202,22.3137467
Point 139,39.1051466,22.3139403
Point 140,39.1065038,22.3150469
Point 141,39.0999223,22.3157272
Point 142,39.1023059,22.3130881
Point 143,39.1023649,22.310389
Point 144,39.1024132,22.3115453
Point 145,39.1019894,22.3118878
Point 146,39.1017641,22.3122898
Point 147,39.1019625,22.3112525
Point 148,39.1012705,22.3118232
Point 149,39.1013403,22.3115577
Point 150,39.1014824,22.3111582
Point 151,39.1016165,22.3124734
Point 152,39.100984,22.3103651
Point 153,39.1003295,22.3102163
Point 154,39.0999057,22.3093875
Point 155,39.0995785,22.3093577
Point 156,39.0999969,22.3100078
Point 157,39.1007338,22.3091068
Point 158,39.1073757,22.3115025
Point 159,39.1066812,22.3102442
Point 160,39.1075933,22.3087781
Point 161,39.1063614,22.3069013
Point 162,39.1067905,22.3064248
Point 163,39.1070909,22.3060725
Point 164,39.107858,22.3064546
Point 165,39.1039322,22.3054223
Point 166,39.1028861,22.3049905
Point 167,39.1036264,22.3048565
Point 168,39.1086193,22.3041545
Point 169,39.1081043,22.3033703
Point 170,39.1102233,22.3042984
Point 171,39.1088715,22.3036185
Point 172,39.0907042,22.3404445
Point 173,39.0883009,22.3414518
Point 174,39.088714,22.3435258
Point 175,39.0898458,22.341448
Point 176,39.0906773,22.3414927
Point 177,39.0910132,22.3423456
Point 178,39.1007069,22.3169994
Point 179,39.0993933,22.3154844
Point 180,39.0990554,22.3153801
Point 181,39.1065392,22.3075351
Point 182,39.105992,22.3071777
Point 183,39.1055092,22.3078676
Point 184,39.1062066,22.3081157
Point 185,39.1052035,22.3074259
Point 186,39.1050264,22.3069197
Point 187,39.1045597,22.3075698
Point 188,39.1047904,22.3081356
Point 189,39.1055951,22.3083788
