BSSID,Latitude,Longitude,Security
000FB558C44A,55.854462,-4.34273,WEP
0022694CE515,55.854462,-4.34273,WPA2
001FE2D551E4,55.854462,-4.34273,WPA2
00242B75E406,55.854462,-4.34273,WPA2
001F9F4B6CAD,55.854193,-4.343408,WEP
001E2AEE16E2,55.854193,-4.343408,WPA
001D5A631603,55.854193,-4.343408,WPA
00184D04018E,55.854193,-4.343408,WPA
002163FF3551,55.854193,-4.343408,WPA
00242B47DA87,55.854193,-4.343408,WPA2
00234D5C7F03,55.854193,-4.343408,WPA2
001D5A631601,55.854193,-4.343408,WEP
00234D2BAC9A,55.854193,-4.343408,WPA2
0022B05C90BB,55.854193,-4.343408,WPA2
002348E6C342,55.854193,-4.343408,WPA
001E749F9CB4,55.854193,-4.343408,WPA
00234EAD7E8A,55.853293,-4.343753,WEP
00184D17E0D4,55.85727,-4.347126,WPA
00234E7B522C,55.85727,-4.347126,WEP
00223F0D4EF6,55.86437,-4.384116,WEP
00223FD25D80,55.863754,-4.387162,WPA
001AEE0116DC,55.86227,-4.394479,None
001B2F5A7D3A,55.862331,-4.420499,WPA
0020A666A5FC,55.856606,-4.450413,WPA
0020A666AA9E,55.856606,-4.450413,WPA
0020A664F317,55.856371,-4.451356,WPA
0020A6778BE8,55.856007,-4.453339,WPA
0020A664EF02,55.856007,-4.453339,WPA
001D68068733,55.844622,-4.531067,WEP
0021E9B8FE08,55.847629,-4.534191,WPA2
001F337AA338,55.847629,-4.534191,WPA
001CDF5505B9,55.847629,-4.534191,WPA
021FE2D54078,55.847629,-4.534191,None
001FE2D5407A,55.847629,-4.534191,WPA2
021FE2D5407B,55.847629,-4.534191,None
00184DB2E570,55.847629,-4.534191,WPA
0018F6966191,55.847647,-4.534407,WEP
001E740D4125,55.847647,-4.534407,WPA
001B2FA3B22A,55.847647,-4.534407,WPA
00147FA12D3D,55.84786,-4.534894,WEP
001F9F46F793,55.84786,-4.534894,WEP
001D687D27B1,55.84786,-4.534894,WEP
00146CF0C146,55.84786,-4.534894,WEP
001E740D19FE,55.847861,-4.534965,WPA
001F9F47CDDD,55.848789,-4.534643,WEP
00184D69418E,55.848274,-4.534845,WPA2
02242B543E88,55.848274,-4.534845,None
02242B543E8B,55.848274,-4.534845,None
001B2FEBB8EC,55.848274,-4.534845,WPA
001CDFA18A06,55.848274,-4.534845,WPA2
001F9F74FC4F,55.848274,-4.534845,WEP
0016E3C1AD4F,55.848274,-4.534845,WEP
001B2F7CA752,55.847973,-4.534822,WPA
001B2F9354AE,55.847973,-4.534822,WPA
00242B543E8A,55.847973,-4.534822,WEP
00184DF8F3F4,55.847973,-4.534822,WPA
001FE2D564FC,55.847973,-4.534822,WPA2
001F9F43EF79,55.847854,-4.534683,WPA2
00147FA1BC71,55.847854,-4.534683,WEP
001E2A217F94,55.847854,-4.534683,WPA
001F3302DFF0,55.847773,-4.534596,None
00146C427254,55.847773,-4.534596,None
00507F9A5248,55.847773,-4.534596,None
00183F6DFA79,55.847632,-4.533157,WEP
001F5B87E6B0,55.847632,-4.533157,WPA2
00183F6DFA7B,55.847632,-4.533157,WPA
001E7465493D,55.847763,-4.532604,WPA
001839352DBC,55.847793,-4.532341,WEP
001B2F76A6BE,55.847571,-4.529949,WPA
001CDFA23DEA,55.847542,-4.52955,WPA2
002104CA47C2,55.84752,-4.530055,WPA2
0022B05E138E,55.84752,-4.530055,WPA
00242BAFF7E3,55.848092,-4.531056,WPA2
02234D5C7A88,55.848092,-4.531056,None
00234D5C7A8A,55.848092,-4.531056,WEP
02234D5C7A8B,55.848092,-4.531056,None
00234EAD775A,55.846673,-4.531007,WPA2
